network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
10_19.adj,10,20,0.8069059523809524,0.7978714988018979,0.5798809523809524,0.526035510375172
birdtrade_a.adj,42,68,0.6278329435489519,0.6380719383846004,0.18725159175549347,0.25940838085466367
birdtrade_b.adj,39,53,0.5714364351365921,0.5729456876993011,0.19857776357214424,0.23022924824957622
birdtrade_c.adj,34,46,0.5589475385758725,0.5826788675876868,0.20447575545615915,0.24410058355066883
earth_moon_mars.adj,16,57,0.800923649267399,0.8820048204514059,0.49231619075369065,0.5944589012430564
east_europe_rr.adj,45,91,0.6391279701708815,0.711361258114051,0.40969120709456647,0.30115161170890603
hiv.adj,40,41,0.466873792774623,0.4490828506701486,0.15191108528650432,0.17805890290495077
karate.adj,34,78,0.7396497046556828,0.7648249824393681,0.23554489024934236,0.36243307321504376
latora_kindergarden.adj,16,39,0.7425713106338105,0.8188649611620109,0.47620053557553554,0.48978475848242864
levi_strauss_myth1.adj,27,35,0.484004698662269,0.584435793518446,0.24108547190470053,0.2612123773920701
morrissey_godparent.adj,43,44,0.5014697558978831,0.44106627281475785,0.10848297594759625,0.17080391516699814
mouse_visual_cortex1.adj,29,44,0.6599514762625682,0.6397802047492728,0.267963029461336,0.28547302856282825
nuclear.adj,47,91,0.6514960732627005,0.6946488961199975,0.2787164597716094,0.286988247879656
pitts.adj,40,52,0.5393942656445021,0.5528379411066731,0.2652214209010931,0.2196743714353215
s50_1.adj,49,74,0.4191392622456462,0.5999648130592685,0.17579582614300077,0.22984834992028888
s50_2.adj,50,81,0.4918764592351254,0.6269184284057405,0.21092241142383758,0.24296091582696874
s50_3.adj,50,77,0.28580777051448514,0.606959891605158,0.15536301161217267,0.23244396465813366
sociologists.adj,28,31,0.4935600325703715,0.517087619256764,0.1857387490727955,0.22784310555481418
taro.adj,22,39,0.711945119055976,0.7156721450051764,0.3786022626949309,0.35781525319783
test_disconnected.adj,8,7,0.5616354166666665,0.5868001607896205,0.37079613095238095,0.3766834667271205
tokstoy_rr.adj,30,30,0.4268993450331253,0.46765304581305056,0.2543019998547219,0.20317134180551527
usa.adj,49,107,0.6277175785360851,0.7308074451819251,0.4182924224631765,0.3102841098676922
weevil.adj,19,22,0.6046426757510348,0.574714015882896,0.28722120672585066,0.2846866933226691
windsurfers.adj,43,336,0.9296147284408137,0.9417422799837748,0.63049386285823,0.6428317017820405
word_of_mouth.adj,38,51,0.5577542351298634,0.5703652532600645,0.17286384976183808,0.2308934626512896
zebra.adj,27,111,0.7048358963647668,0.8879989554856067,0.42243231447148694,0.5425015516972126
athens_tram.adj,49,50,0.2990548613638921,0.4282154252397045,0.24303784159489272,0.15929495657357298
bordeaux_ferry.adj,5,6,0.7122222222222222,0.7054734814844444,0.6222222222222222,0.5371479814844444
brisbane_ferry.adj,31,35,0.45367525310162704,0.514434357178738,0.25608179972144257,0.21909171804701733
helsinki_subway.adj,19,20,0.49461065279176725,0.5383359290909199,0.26665048630992905,0.2669824431686293
lisbon_subway.adj,50,52,0.3764900544001413,0.4355232351876718,0.17221144285037693,0.16099020751707863
luxembourg_rail.adj,43,56,0.4723468628820669,0.54738760760459,0.16711709798674906,0.21259873804320872
rennes_subway.adj,29,28,0.3741777150939366,0.4562430334933482,0.34516566978337637,0.2009184284961055
sydney_tram.adj,44,44,0.3239262214900885,0.4293365629913968,0.21626995319650627,0.16573223971116569
toulouse_subway.adj,40,38,0.29243173506149067,0.41629029195878003,0.2099536204462752,0.1668042260747019
1020clc.adj,44,101,0.6903945211471547,0.7514570860512051,0.34127025024073787,0.3333485172349066
11-64.adj,12,13,0.615108195045695,0.6041499746363654,0.4106361231361231,0.34493118802451517
AmadMyJn12-20.adj,18,33,0.757078234945882,0.7403018891428357,0.3315581023914357,0.3964817990181536
AmadMyJn12-26.adj,43,70,0.6454068639445265,0.6380400048058591,0.2922251144053858,0.257642184563904
AmadMyJn12-27.adj,7,6,0.6055555555555554,0.5934696718276644,0.4825396825396825,0.39617694643083895
AmadMyJn12-28.adj,48,96,0.6874936787084946,0.7046963546488769,0.25729337596651153,0.2927114058889028
AmadMyJn12-36.adj,19,32,0.6840301499899023,0.7090208814306845,0.3579719271669735,0.3663263391436187
AmadMyJn12-5.adj,34,62,0.6632405733853252,0.6947926500234866,0.31414024936623797,0.3084096258633064
AmadMyJn12-50.adj,16,27,0.7481234858891108,0.7240058034791022,0.44339688089688084,0.39511278182424325
AmadMyJn12-51.adj,15,19,0.6741281607281606,0.6324842484470272,0.3582045115378449,0.3385189594427939
Amador10-25.adj,31,46,0.5888730561633256,0.6261107759571777,0.3291605437681625,0.2728630911079928
Amador10-26.adj,13,14,0.6173197173197174,0.5909616514470807,0.35371295371295375,0.32769204276915304
Amador10-27.adj,44,81,0.6273632429460264,0.681792673948345,0.2809924580259342,0.282753952561854
Amador10-28.adj,33,51,0.5662408748238298,0.6368808851465072,0.3080278107556264,0.27436577709492127
Amador10-29.adj,42,59,0.48207792368054414,0.581649631373761,0.2346265794024148,0.23008608687732887
Amador10-30.adj,31,46,0.5588779078951216,0.6261107759571777,0.28145661021102647,0.2728630911079928
Amador10-31.adj,27,41,0.6422267758650291,0.6457226288778439,0.3015423498709719,0.2941086014404645
Amador10-32.adj,7,7,0.6475873015873014,0.6359716044852608,0.4222222222222222,0.42198038035827656
Amador10-33.adj,15,16,0.5288181571514905,0.5708511626512147,0.33907031240364577,0.30463133585908186
Amador10-34.adj,40,82,0.6550023193570208,0.7228561628202994,0.3463848603601473,0.3171427171383927
Amador10-35.adj,34,53,0.573635977083393,0.6386106106546081,0.3289428635002579,0.27359164399243474
Amador10-42.adj,11,10,0.5547950937950938,0.5553983164217324,0.4485329485329485,0.32675078919499634
Amador10-43.adj,4,5,0.7215625,0.7197598804904514,0.6145833333333333,0.6147469881987847
Amador10-62.adj,13,15,0.579012876012876,0.6148260627944045,0.35782735782735786,0.3417187937293514
Amador10-63.adj,44,67,0.5416364665761224,0.6110527347613253,0.29374992981284953,0.24193727876346519
BHGB10-18.adj,26,31,0.5538969260310539,0.5550010142803357,0.28448781716860555,0.2502606561573485
BHGB10-19.adj,24,34,0.6717498903531804,0.6304159451626721,0.3184382770150958,0.2952095251094703
BHGB10-20.adj,25,30,0.5641633061551651,0.560566968822731,0.2701166171837864,0.2553936811154602
BHGB10-21.adj,48,88,0.6514602898043034,0.6751606105542683,0.26265328271597466,0.2732885736351885
BHGB10-42.adj,9,8,0.5727883597883597,0.5740916072360376,0.4601410934744268,0.35702644570019987
BHGB11-11.adj,47,96,0.7055581390992025,0.7121838490111733,0.31786705095558376,0.2990859405651238
BHGB11-13.adj,46,74,0.6241061453278516,0.6295769422982065,0.25816137834438235,0.2491645128712603
BHGB11-25.adj,30,55,0.717657299914605,0.704878354106338,0.3741584211045781,0.32452437658316013
BHGB11-26.adj,44,115,0.7835022273617185,0.7861299482913713,0.3618116342081409,0.36434366823060776
BHGB11-27.adj,36,89,0.7668018029255246,0.7816410658411572,0.3900394610024783,0.37380884373193585
BHGB11-28.adj,25,33,0.6282642176605643,0.5985961713364427,0.3546158616065737,0.27436912971487315
BHGB11-29.adj,41,105,0.7733583228674549,0.7837382644476664,0.31957859381939085,0.3667325967939247
BHGB11-30.adj,31,58,0.7112823657775906,0.7086073816593298,0.37692300154956676,0.3245969099042562
BHGB11-31.adj,35,90,0.7842894450900153,0.7921991790664816,0.35830945193207936,0.3861531916427254
BHGB11-55.adj,7,6,0.6166349206349205,0.5934696718276644,0.48571428571428577,0.39617694643083895
BHGB11-56.adj,14,24,0.7760518192125334,0.7386624210915449,0.5110827664399094,0.42165360359746534
BHGB11-57.adj,20,37,0.761683057302175,0.7356326293385813,0.38760721304838947,0.38230156666225634
BHGB11-59.adj,14,25,0.756560863739435,0.7502937597942992,0.51187641723356,0.43179062177534727
CATH2.adj,42,60,0.6006868150387311,0.5885750369883556,0.23151869190345725,0.23343223372358637
CATH3.adj,40,61,0.604328420764079,0.6183354927565229,0.24734907681017418,0.2516896645261759
CATH7.adj,42,54,0.5233372991079782,0.5442372094023523,0.2341250478337632,0.21284282003983576
GTNP13-01.adj,12,14,0.6642017195767195,0.6291826555944673,0.39662698412698405,0.3591846240703461
GTNP13-02.adj,28,62,0.7470652429254244,0.76592375256853,0.3228538005457846,0.3785811475408443
GTNP13-03.adj,28,53,0.7446295176631663,0.7197732101595596,0.30986504848748375,0.3407789548249568
GTNP13-04.adj,26,44,0.6931236076499216,0.6881147672857018,0.31093307670593157,0.3242407747306437
GTNP13-05.adj,20,26,0.6499030820078613,0.61472054209504,0.35151464140434724,0.3015944736434011
GTNP13-06.adj,8,9,0.7054895833333332,0.660116786092913,0.45401785714285714,0.4258450021449963
GTNP13-07.adj,24,45,0.7449518932922884,0.7271564689072599,0.34313669073730985,0.3589384003569264
GTNP13-09.adj,25,39,0.6825845341650268,0.6616584266566393,0.3032805357696998,0.31012157702621745
GTNP13-100.adj,24,47,0.7408497513771923,0.740333444016573,0.3540309165164041,0.3695147547161185
GTNP13-104.adj,13,14,0.6160253080253081,0.5909616514470807,0.41273541273541275,0.32769204276915304
GTNP13-105.adj,17,19,0.5865617878853171,0.5735581459916989,0.34425095601566186,0.294317870829575
GTNP13-106.adj,10,11,0.6638432539682538,0.6299507817545702,0.4485714285714286,0.3786153276246128
GTNP13-119.adj,21,38,0.6684227478311215,0.7243571994275699,0.39023290745979816,0.36872646958562894
GTNP13-121.adj,34,75,0.7532755710341963,0.7538985754907855,0.3604658796085496,0.352995359144616
GTNP13-16.adj,27,38,0.6211841009919434,0.6168953551307187,0.27548252790132705,0.2779714018804127
GTNP13-21.adj,22,37,0.6921166513928263,0.6985575903301673,0.3107624497418333,0.3455754268819487
GTNP13-22.adj,12,17,0.7072605820105818,0.693033878541186,0.5032076719576719,0.4023640510625399
GTNP13-23.adj,13,18,0.7041543641543643,0.6766259768331752,0.4154808154808155,0.3818706736603372
GTNP13-24.adj,24,41,0.7058321829252219,0.6972258700132049,0.33046709858339113,0.3371686762414217
GTNP13-25.adj,27,70,0.7867112723165588,0.806499850708338,0.38191822322925156,0.4221644646332094
GTNP13-26.adj,19,30,0.7070933163270623,0.6878156294277161,0.3620925227736373,0.3512405843562286
GTNP13-34.adj,28,59,0.7385298967335956,0.7520642654090658,0.3392073627603308,0.366365774906943
GTNP13-35.adj,24,59,0.8078184418583507,0.8008522809510299,0.44050324335250807,0.42623983291057876
GTNP13-36.adj,29,47,0.6642023097180484,0.6640376696721768,0.33018144113881076,0.29994552811141195
GTNP13-37.adj,26,58,0.7333513008787865,0.7721460431355914,0.29924623284803503,0.39047888176188594
GTNP13-38.adj,29,68,0.7717285657755698,0.778413222519831,0.36403166036634127,0.387279009493817
GTNP13-39.adj,20,38,0.7533799538696596,0.7435362998065927,0.40178541638100457,0.38889724823536476
GTNP13-41.adj,13,15,0.6415061235061236,0.6148260627944045,0.4221112221112221,0.3417187937293514
GTNP13-42.adj,25,38,0.6607847037708258,0.6522406234341919,0.3741488682169797,0.3043832344104143
GTNP13-43.adj,24,35,0.6551354742540129,0.6412822405869967,0.37616022178715675,0.3013962968679859
GTNP13-45.adj,23,40,0.7296996340233652,0.7052649783954981,0.409297991011546,0.34629017268678497
GTNP13-46.adj,13,13,0.5859332149332149,0.5655040178390764,0.402945202945203,0.31472033134615973
GTNP13-69.adj,22,42,0.70616540962868,0.7385162013251794,0.4434208097309702,0.37579186269305404
GTNP13-70.adj,18,22,0.6421475215507078,0.6021230122394218,0.2937378480270637,0.30414448349444495
GTNP13-72.adj,26,53,0.7298652191597552,0.7470240908817185,0.32681313302249193,0.3682257417899979
GTNP13-99.adj,13,21,0.6802698042698044,0.7249594770382015,0.3833647833647834,0.418193004721441
SMMJAN13TRK1.adj,18,51,0.8277347755276676,0.8434686796393395,0.5627839752839754,0.5091497893816039
SMMJAN13TRK10.adj,14,27,0.7546184807256234,0.7710532384383688,0.40432385075242216,0.4509417955200268
SMMJAN13TRK6.adj,16,25,0.6927395607864357,0.6997369931206042,0.4175529331779331,0.3763109079028451
SMMJAN13TRK8.adj,9,9,0.6279065255731922,0.6095278434303939,0.39841269841269833,0.3785647116157554
SMMJAN13TRK9.adj,26,66,0.7734569030714967,0.8043393728687231,0.4438841329544473,0.42287923902205404
TRK03-4-12.adj,8,10,0.6914999999999998,0.690817675822963,0.4927083333333333,0.44959548248977865
TRK06-2-12_Triple.adj,15,29,0.7682783488116823,0.765802984370073,0.47289303289303297,0.4384987038272308
TRK07-4-12.adj,6,6,0.6588333333333333,0.6533033366134259,0.4347222222222222,0.45704267394675924
TRK08-12_Triple.adj,9,15,0.722320987654321,0.7580468735167495,0.419400352733686,0.49636112715946384
TRK08-2-12_Triple.adj,8,13,0.7689895833333333,0.7608637897895887,0.5239583333333333,0.5130490196604217
TRK08-4-12.adj,16,42,0.8219335300116548,0.8337470271304197,0.4889851467976467,0.5094964313145366
TRK09-2-12_Triple.adj,16,29,0.7418460792679542,0.7452244823734386,0.3391570235320235,0.4127995259356181
TRK09-4-12.adj,17,30,0.69852664002664,0.7316776273413912,0.3836057188998366,0.3949203433844843
TRK10-12_Triple.adj,2,1,0.5,0.5,0.5,0.5
TRK10-2-12_Triple.adj,18,31,0.7329387896054561,0.7213857942754592,0.42350997767664433,0.38104843268631877
TRK10-4-12.adj,12,19,0.7317727873977873,0.7270049346344597,0.45045093795093794,0.4293919910409892
TRK11-12_Triple.adj,19,28,0.650571225930359,0.6640691477956057,0.35449509783875105,0.33537720442514457
TRK11-2-12_Triple.adj,12,18,0.7101473063973063,0.7108025766070327,0.39003427128427126,0.4161551046251595
TRK12-12_Triple.adj,13,21,0.7145642135642135,0.7249594770382015,0.3678543678543679,0.418193004721441
TRK12-2-12_Triple.adj,11,30,0.8446897546897547,0.8495609529143271,0.5821067821067821,0.5935200775720034
TRK13-12_Triple.adj,7,9,0.7195555555555554,0.7056682323680271,0.5142857142857143,0.4775313468124716
TRK13-2-12_Triple.adj,31,69,0.7409738091677088,0.7608463116804588,0.3228122081164989,0.3658470697014925
TRK14-12_Triple.adj,12,23,0.7449230399230395,0.7787308515608083,0.42266714766714764,0.4775215791793192
TRK14-2-12_Triple.adj,11,18,0.7465329485329485,0.7407037356932568,0.5012987012987012,0.4510750388380088
TRK14-4-12.adj,8,7,0.6091383928571428,0.5868001607896205,0.4733630952380952,0.3766834667271205
TRK15a-12_Triple.adj,12,20,0.7537450396825397,0.7417719841898962,0.47797619047619044,0.442063746099024
TRK15a-2-12_Triple.adj,13,15,0.6546078736078736,0.6148260627944045,0.3826913826913827,0.3417187937293514
TRK15b-2-12_Triple.adj,13,17,0.7043970473970474,0.6576297547339298,0.37831797831797837,0.3689016041359736
TRK17-12_Triple.adj,7,9,0.6977142857142856,0.7056682323680271,0.4349206349206349,0.4775313468124716
TRK17-2-12_Triple.adj,24,60,0.78664190514388,0.8047795614665693,0.40334906661822295,0.4305818494130591
TRK18-12_Triple.adj,15,34,0.7682068968068966,0.8046220326774599,0.426024346024346,0.4803631403414044
TRK18-2-12_Triple.adj,22,32,0.6206347573526013,0.6478037528821413,0.3037446469704421,0.3124798265300996
TRK18-4-12.adj,3,2,0.5755555555555555,0.5816187407407406,0.4444444444444444,0.4718794074074074
TRK19-12_Triple.adj,17,40,0.773427585486409,0.8069183395416578,0.4819511643041055,0.46765912207363425
TRK19-2-12_Triple.adj,19,47,0.7556502960403888,0.8126847043573221,0.4456079982395772,0.46299169134350465
TRK19-4-12.adj,13,19,0.696979131979132,0.6941140115388498,0.3903059903059904,0.39437247868807745
TRK20-12_Triple.adj,10,20,0.8117345238095237,0.7978714988018979,0.4854761904761905,0.526035510375172
TRK21-12_Triple.adj,15,18,0.659935397935398,0.6132124720660852,0.3647520380853714,0.32713435198588836
TRK22-12_Triple.adj,15,23,0.6950663139329806,0.6974835327551172,0.3925146458479791,0.3811314047286012
TRK22-4-12.adj,28,59,0.7116510808200592,0.7520642654090658,0.33508830298640496,0.366365774906943
TRK23-12_Triple.adj,12,27,0.8230985449735448,0.8149168212867367,0.4733465608465608,0.5220874830279985
TRK23-2-12_Triple.adj,25,91,0.8307050307044275,0.8729848477000366,0.41998255095387954,0.5217939477350734
TRK24-12_Triple.adj,11,21,0.7708388648388648,0.7804850135097892,0.5040885040885041,0.49260036327504336
TRK24-2-12_Triple.adj,21,57,0.8011618508715663,0.8277794051675688,0.40564559743389167,0.4712051472403633
TRK24-4-12.adj,11,14,0.7020529100529099,0.6648088073135797,0.36479076479076483,0.3914451475328755
TRK25-12_Triple.adj,12,27,0.7869259259259259,0.8149168212867367,0.44834656084656077,0.5220874830279985
TRK25-2-12_Triple.adj,10,12,0.6291329365079364,0.6576295932361644,0.3513492063492063,0.3974468693208713
TRK26-12_Triple.adj,28,64,0.7599411783976229,0.7744431755930864,0.3502701753064712,0.38641226826075314
TRK26-4-12.adj,14,17,0.6896859152752008,0.6263186218505437,0.34317666460523605,0.34206292105662744
TRK27-12_Triple.adj,12,20,0.710652507215007,0.7417719841898962,0.44279100529100524,0.442063746099024
TRK27-2-12_Triple.adj,6,7,0.7009583333333333,0.6937041623460647,0.47638888888888886,0.4909648123738426
TRK27-4-12.adj,11,22,0.7802053872053871,0.7913053134502792,0.46681096681096684,0.5052396543315307
TRK28-2-12_Triple.adj,21,49,0.7684373350452518,0.7942754536456885,0.42796281423732396,0.431945820037944
TRK29-2-12_Triple.adj,14,17,0.6554510410224694,0.6263186218505437,0.3568671407957122,0.34206292105662744
TRK30-2-12_Triple.adj,12,13,0.6291339285714287,0.6041499746363654,0.45760582010582007,0.34493118802451517
TRK30-4-12.adj,13,39,0.8198571428571428,0.8607729731574347,0.5036186036186037,0.5859902721092521
TRK31-2-12_Triple.adj,14,16,0.5935523088023086,0.6049566444939191,0.3611239950525664,0.3298998896271312
TRK34a-2-12_Triple.adj,24,33,0.5942527761201938,0.6190542233201506,0.28884192611940285,0.28890310984960443
TRK34b-2-12_Triple.adj,15,20,0.6841800619133953,0.6504982345802017,0.3650421183754517,0.34964929322918803
TRK35-2-12_Triple.adj,5,5,0.6637777777777778,0.6614279923822222,0.4888888888888889,0.48947554438222224
TRK37-2-12_Triple.adj,19,39,0.7262580600227658,0.7672966853794071,0.37675417690897567,0.4147220018079356
TRK38-2-12_Triple.adj,7,8,0.6937460317460318,0.6733988777605442,0.5650793650793651,0.44719851309495684
TRK38.adj,48,138,0.7865509205412112,0.805162331672868,0.37127461182201194,0.37805776357028736
TRK39-2-12_Triple.adj,6,10,0.79125,0.7761711494236538,0.6875,0.5889235013117096
TRK39a_042409.adj,20,30,0.7008582665227787,0.6670703227883011,0.33182056505585916,0.3329981213044521
TRK39b_042409.adj,35,43,0.5255642669985144,0.5392495205713543,0.2686316339955037,0.22176374232973028
TRK40-2-12_Triple.adj,38,95,0.7378763528011557,0.781829804447491,0.2997630412939981,0.3701306478159384
TRK43a_042509.adj,26,36,0.6225868841836488,0.6146678512836018,0.24560634903084455,0.2800990659839247
TRK43b_042509.adj,10,11,0.6577085978835978,0.6299507817545702,0.46285714285714286,0.3786153276246128
TRK47a_051209.adj,41,59,0.5747819463445789,0.5927723357097613,0.25868828154206464,0.23675122767888687
TRK47b_051209.adj,43,54,0.5314867540804771,0.531663640719954,0.2281767363770983,0.20572090374307903
TRK50b_051209.adj,30,32,0.4471729005241166,0.4945099273323797,0.28366636914151155,0.21374435897328437
