network,nodes,edges,real rand auc,real attack auc,fin theory rand auc,fin theory attack auc
10_19.adj,10,20,0.8006,0.5842857142857142,0.797701441029914,0.524891296265544
birdtrade_a.adj,42,68,0.6414022419968616,0.18508264583521244,0.6379542427544679,0.2592652970152441
birdtrade_b.adj,39,53,0.5737276686980674,0.19857776357214424,0.5729456876989177,0.23022924734430844
birdtrade_c.adj,34,46,0.5585759555027865,0.2054684086931453,0.5825346585098783,0.24391047710765437
earth_moon_mars.adj,16,57,0.8055763646076143,0.49200359825359813,0.8819079836615258,0.5946872772476073
east_europe_rr.adj,45,91,0.6321891163017723,0.40969120709456647,0.7113612581140503,0.3011516094937776
hiv.adj,40,41,0.46461336175318857,0.15183542219575902,0.4489588107159477,0.17790410269228113
karate.adj,34,78,0.7253615446910158,0.2346114698056413,0.76468650365159,0.3623691096950807
latora_kindergarden.adj,16,39,0.7727753565878566,0.4760881479631479,0.8186759666511615,0.4894050030329532
levi_strauss_myth1.adj,27,35,0.5007998486486729,0.24108547190470053,0.584435793518446,0.2612123773920697
morrissey_godparent.adj,43,44,0.49897383373300364,0.10848297594759625,0.44106627255793696,0.17080388394029833
mouse_visual_cortex1.adj,29,44,0.6587429510313147,0.267963029461336,0.6397802047492728,0.28547302856282425
nuclear.adj,47,91,0.632534508174145,0.2787164597716094,0.6946488961199904,0.28698823924280686
pitts.adj,40,52,0.530860467324326,0.2655342902405069,0.552714134811936,0.21955815833511735
s50_1.adj,49,74,0.41640993823278516,0.17579582614300077,0.5999648130561648,0.2298483093240037
s50_2.adj,50,81,0.4869551986247392,0.20924207430865896,0.6268188354265021,0.2428620672667514
s50_3.adj,50,77,0.2912064099411681,0.1546842878630916,0.6068601717803515,0.23231188435815092
sociologists.adj,28,31,0.48800939801575116,0.18311649087537818,0.5169143388496596,0.2278218050096637
taro.adj,22,39,0.720190360978005,0.3753357249592825,0.7154687053393947,0.35781958245512424
test_disconnected.adj,8,7,0.5509573412698413,0.3599702380952381,0.5863307355205853,0.374563905937252
tokstoy_rr.adj,30,30,0.4501357180741654,0.25562740895057856,0.4674895326366713,0.20314371641254508
usa.adj,49,107,0.6360663763913932,0.4182924224631765,0.7308074451819239,0.3102840999138642
weevil.adj,19,22,0.6066623095400184,0.28722120672585066,0.574714015882896,0.2846866933226691
windsurfers.adj,43,336,0.9307434270375928,0.63049386285823,0.9417422799837748,0.6428317017820405
word_of_mouth.adj,38,51,0.5271935571722066,0.17389038133589313,0.5702353102807441,0.2308299566395004
zebra.adj,27,111,0.7075182172724477,0.42243231447148694,0.8879989554856067,0.5425015516972126
athens_tram.adj,49,50,0.3120529771218246,0.24303784159489272,0.42821541721484474,0.15929385660527975
bordeaux_ferry.adj,5,6,0.724,0.6222222222222222,0.7054734814844444,0.5371479814844444
brisbane_ferry.adj,31,35,0.43159048862248434,0.25608179972144257,0.5144343571786514,0.21909171804467154
helsinki_subway.adj,19,20,0.4995945451750405,0.26665048630992905,0.5383359290909199,0.2669824431686293
lisbon_subway.adj,50,52,0.38602724992919724,0.17161822256730536,0.4354233263912614,0.16092987351891863
luxembourg_rail.adj,43,56,0.45804327208446916,0.16711709798674906,0.5473876075998348,0.21259872578973263
rennes_subway.adj,29,28,0.3717403119635211,0.34516566978337637,0.45624303349314554,0.20091842849564048
sydney_tram.adj,44,44,0.32587234746684046,0.21640687420810292,0.4292233812256668,0.16568020613637788
toulouse_subway.adj,40,38,0.295598980710797,0.20996377614019246,0.4161659216808291,0.16669663376153668
1020clc.adj,44,101,0.703675472600599,0.33998132155978306,0.7513465582016693,0.3332735772082636
11-64.adj,12,13,0.6065056517556516,0.4172538880872214,0.6038140266185975,0.3444967783141145
AmadMyJn12-20.adj,18,33,0.7586763511542922,0.3356400800845245,0.7400753946731825,0.39628005865043925
AmadMyJn12-26.adj,43,70,0.6493138598753123,0.2922251144053858,0.6380400048058082,0.2576421813456355
