,0,1,2,3
0,TRK10-12_Triple.adj,2,1.0,0.0
1,TRKa46-3-12.adj,2,1.0,0.0
2,weighted_hens_pecking_order.adj,32,1.0,0.0
3,social_weaver_2.adj,5,1.0,0.0
4,weaver_dijk_social_02.adj,5,1.0,0.0
5,tortoise_sah_network_CS_aggregate_year_2013_season_inactive.adj,33,0.0113636363636363,0.0024839873808908
6,tortoise_sah_network_LM_aggregate_year_1998_season_inactive.adj,48,0.0097517730496453,0.0026044565224011
7,krackfr_ACTOR#9.adj,20,0.0210526315789473,0.0040427904165699
8,krackfr_ACTOR#8.adj,20,0.0210526315789473,0.0043958228747014
9,tortoise_sah_network_CS_aggregate_year_2011_season_inactive.adj,31,0.0172043010752688,0.004622459101655
