,0,1,2,3
0,10_19.adj,10,0.4444444444444444,0.21590661095238106
1,birdtrade_a.adj,42,0.07897793263646923,0.4500300475708713
2,birdtrade_b.adj,39,0.07152496626180836,0.3744207459960249
3,birdtrade_c.adj,34,0.08199643493761141,0.3776825746553365
4,dolphin.adj,62,0.08408249603384453,0.4373893310126996
5,drugspider_chloralhydrate.adj,52,0.048265460030165915,0.30257548757797476
6,earth_moon_mars.adj,16,0.475,0.3881027397324204
7,east_europe_rr.adj,45,0.09191919191919191,0.30212691148197973
8,farmer.adj,80,0.024367088607594938,0.2634989314555556
9,frozen.adj,52,0.032428355957767725,0.2341099096174977
10,game_of_thrones.adj,79,0.038299253489126904,0.44006748371696414
11,grape.adj,54,0.055904961565338925,0.45221920768299434
12,hiv.adj,40,0.052564102564102565,0.2937739703887094
13,iceland.adj,75,0.04108108108108108,0.4678230754457416
14,karate.adj,34,0.13903743315508021,0.5290025545545793
15,latora_kindergarden.adj,16,0.325,0.3400006372716868
16,levi_strauss_myth1.adj,27,0.09971509971509972,0.3429644964896041
17,lrock.adj,92,0.22933588150979456,0.5593520986186593
18,madrid_terrorist.adj,64,0.12053571428571429,0.6104295759407368
19,morrissey_godparent.adj,43,0.048726467331118496,0.3334119405288973
20,mouse_visual_cortex1.adj,29,0.10837438423645321,0.3741617232202773
21,nuclear.adj,47,0.0841813135985199,0.4167370735121881
22,pdist.adj,76,0.03368421052631579,0.38482360279429106
23,pitts.adj,40,0.06666666666666667,0.2867491189621549
24,prison.adj,62,0.0449497620306716,0.4082878896698245
25,s50_1.adj,49,0.06292517006802721,0.42755992943497767
26,s50_2.adj,50,0.06612244897959184,0.4159360834986117
27,s50_3.adj,50,0.06285714285714286,0.45806448373612674
28,Sandi_authors.adj,86,0.03392612859097127,0.44678588371754907
29,sociologists.adj,28,0.082010582010582,0.3340095272146824
30,taro.adj,22,0.16883116883116883,0.33623930382022066
31,test_disconnected.adj,8,0.25,0.22345656226190488
32,tokstoy_rr.adj,30,0.06896551724137931,0.20957670937516323
33,traficking.adj,86,0.029274965800273597,0.395976762024615
34,usa.adj,49,0.09098639455782313,0.3123474724541316
