sourceFileName,numberOfNodes,numberOfEdges,array1,array2,array3,array4
10_19.adj,10,20,"[1.         1.         0.995      0.98857143 0.935      0.884
 0.7925     0.76       0.715      1.        ]","[1.         1.         1.         0.85714286 0.5        0.4
 0.25       0.33333333 0.5        1.        ]","[0.99452641 0.98953501 0.97949155 0.95989649 0.92494895 0.87274967
 0.80765755 0.74851467 0.722222   1.        ]","[0.99452641 0.97254579 0.88363506 0.67758372 0.4367726  0.25271978
 0.25       0.33333333 0.5        1.        ]"
birdtrade_a.adj,42,68,"[1.         0.99       0.9705     0.95230769 0.935      0.91702703
 0.90472222 0.88285714 0.85382353 0.8369697  0.821875   0.80032258
 0.793      0.77724138 0.75142857 0.72962963 0.69961538 0.6764
 0.65333333 0.6326087  0.60454545 0.58285714 0.553      0.51842105
 0.47722222 0.46176471 0.44625    0.426      0.405      0.39230769
 0.37       0.36363636 0.365      0.34888889 0.33       0.33714286
 0.335      0.326      0.3625     0.40333333 0.53       1.        ]","[1.         0.87804878 0.8        0.35897436 0.36842105 0.37837838
 0.38888889 0.2        0.08823529 0.09090909 0.09375    0.09677419
 0.06666667 0.06896552 0.07142857 0.07407407 0.07692308 0.04
 0.04166667 0.04347826 0.04545455 0.04761905 0.05       0.05263158
 0.05555556 0.05882353 0.0625     0.06666667 0.07142857 0.07692308
 0.08333333 0.09090909 0.1        0.11111111 0.125      0.14285714
 0.16666667 0.2        0.25       0.33333333 0.5        1.        ]","[0.95986134 0.95590012 0.95149836 0.9465919  0.94110873 0.93496013
 0.92803728 0.92021683 0.91134947 0.90125805 0.88974964 0.87661336
 0.8616385  0.84462582 0.8254138  0.80389781 0.78005984 0.75397695
 0.72584329 0.69596371 0.66474141 0.63265971 0.60024962 0.56805843
 0.53661589 0.50640873 0.47786055 0.45132335 0.42707786 0.40535014
 0.38632658 0.37017956 0.35707205 0.34715019 0.34053598 0.33741285
 0.33838209 0.34546888 0.36458312 0.4121473  0.5394889  1.        ]","[0.95986134 0.94294345 0.91863854 0.88307198 0.83036426 0.75407802
 0.65247122 0.53412905 0.41623953 0.3148222  0.23679464 0.18064778
 0.14106724 0.11262564 0.09180224 0.07548102 0.05716275 0.04
 0.04166667 0.04347826 0.04545455 0.04761905 0.05       0.05263158
 0.05555556 0.05882353 0.0625     0.06666667 0.07142857 0.07692308
 0.08333333 0.09090909 0.1        0.11111111 0.125      0.14285714
 0.16666667 0.2        0.25       0.33333333 0.5        1.        ]"
birdtrade_b.adj,39,53,"[0.8974359  0.88894737 0.87459459 0.86527778 0.85542857 0.83264706
 0.82272727 0.8053125  0.78870968 0.77066667 0.74517241 0.73071429
 0.70518519 0.68346154 0.6576     0.63875    0.61217391 0.58909091
 0.55952381 0.54       0.51578947 0.47722222 0.44941176 0.425
 0.40133333 0.39142857 0.36076923 0.35416667 0.32363636 0.328
 0.32222222 0.31625    0.30142857 0.30166667 0.302      0.34
 0.4        0.515      1.        ]","[0.8974359  0.81578947 0.75675676 0.66666667 0.45714286 0.29411765
 0.21212121 0.15625    0.16129032 0.16666667 0.10344828 0.07142857
 0.07407407 0.07692308 0.08       0.04166667 0.04347826 0.04545455
 0.04761905 0.05       0.05263158 0.05555556 0.05882353 0.0625
 0.06666667 0.07142857 0.07692308 0.08333333 0.09090909 0.1
 0.11111111 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        1.        ]","[0.92305999 0.91552532 0.9070774  0.89757725 0.88686695 0.87477892
 0.86113661 0.84577121 0.82853347 0.80931186 0.78804817 0.76475497
 0.73952872 0.71255327 0.68409655 0.65450459 0.62418027 0.59356325
 0.56310425 0.53324196 0.50438199 0.4768815  0.4510403  0.42709861
 0.40524088 0.38561295 0.36833131 0.35350649 0.34125137 0.33167869
 0.32488787 0.32097772 0.32017008 0.32321976 0.33243207 0.3540531
 0.4047366  0.5357625  1.        ]","[0.92305999 0.88843834 0.83664827 0.76085927 0.65879977 0.53894862
 0.41909052 0.31601718 0.23698191 0.18037105 0.14059121 0.1120801
 0.09128058 0.0743533  0.0537895  0.04166667 0.04347826 0.04545455
 0.04761905 0.05       0.05263158 0.05555556 0.05882353 0.0625
 0.06666667 0.07142857 0.07692308 0.08333333 0.09090909 0.1
 0.11111111 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        1.        ]"
birdtrade_c.adj,34,46,"[0.91176471 0.89666667 0.87375    0.85806452 0.84033333 0.82103448
 0.79607143 0.75888889 0.73653846 0.7104     0.68208333 0.65608696
 0.63681818 0.60952381 0.58       0.55473684 0.52277778 0.51235294
 0.485      0.47533333 0.45214286 0.43307692 0.39916667 0.38181818
 0.384      0.37555556 0.36875    0.35       0.36666667 0.382
 0.395      0.41666667 0.55       1.        ]","[0.91176471 0.66666667 0.625      0.64516129 0.36666667 0.27586207
 0.14285714 0.14814815 0.15384615 0.08       0.08333333 0.08695652
 0.09090909 0.0952381  0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]","[0.92255974 0.91361275 0.90338552 0.89166997 0.878241   0.86286525
 0.84533606 0.82548241 0.80320328 0.77849064 0.75144924 0.72231312
 0.69143196 0.65926214 0.62634024 0.59324572 0.5605653  0.52885738
 0.49862465 0.470298   0.44422977 0.42070222 0.39994999 0.38217691
 0.36757539 0.3563158  0.34853835 0.34441961 0.34450994 0.35072618
 0.36883378 0.41514637 0.5409984  1.        ]","[0.92255974 0.88162328 0.81771283 0.72365728 0.60236007 0.47129586
 0.35297696 0.26060626 0.19480288 0.14931476 0.11745404 0.09423111
 0.07182398 0.04761905 0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]"
dolphin.adj,62,159,"[1.         0.99836066 0.99483333 0.99220339 0.98982759 0.98701754
 0.98392857 0.98036364 0.97759259 0.97471698 0.97       0.96862745
 0.9636     0.95632653 0.9525     0.95       0.9373913  0.92911111
 0.91295455 0.90465116 0.89142857 0.87536585 0.866      0.84282051
 0.83289474 0.81864865 0.80027778 0.78485714 0.76676471 0.75030303
 0.728125   0.71516129 0.69433333 0.67172414 0.65678571 0.64185185
 0.61653846 0.5968     0.5625     0.53130435 0.51909091 0.49904762
 0.478      0.46263158 0.45166667 0.43823529 0.411875   0.39
 0.36928571 0.36769231 0.35583333 0.35272727 0.344      0.32666667
 0.33125    0.33714286 0.34666667 0.358      0.3725     0.41
 0.535      1.        ]","[1.         1.         1.         0.96610169 0.96551724 0.94736842
 0.94642857 0.94545455 0.92592593 0.9245283  0.90384615 0.90196078
 0.82       0.7755102  0.70833333 0.63829787 0.63043478 0.57777778
 0.27272727 0.25581395 0.19047619 0.17073171 0.125      0.12820513
 0.10526316 0.08108108 0.08333333 0.08571429 0.08823529 0.06060606
 0.0625     0.06451613 0.06666667 0.06896552 0.03571429 0.03703704
 0.03846154 0.04       0.04166667 0.04347826 0.04545455 0.04761905
 0.05       0.05263158 0.05555556 0.05882353 0.0625     0.06666667
 0.07142857 0.07692308 0.08333333 0.09090909 0.1        0.11111111
 0.125      0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.        ]","[0.99514505 0.99468685 0.99418482 0.99363508 0.99303053 0.99236746
 0.99163843 0.990839   0.98995941 0.98899214 0.98792911 0.98675759
 0.98546729 0.98404482 0.98247636 0.98074405 0.97883025 0.97671243
 0.97436751 0.97176727 0.96887951 0.96566988 0.96209348 0.95810278
 0.95363715 0.94862508 0.94298099 0.93660422 0.92936829 0.92112377
 0.91169051 0.90086506 0.88842051 0.87411434 0.85771221 0.83900442
 0.81784226 0.79415557 0.76799244 0.73952154 0.70904748 0.67699672
 0.6438962  0.61033714 0.57693666 0.54429929 0.51298147 0.48347007
 0.45617008 0.43141086 0.4094608  0.39055427 0.37490294 0.36269908
 0.3540961  0.34927121 0.34874248 0.35435257 0.37176654 0.41721803
 0.5420415  1.        ]","[0.99514505 0.99347221 0.99125811 0.98833485 0.98448544 0.97942387
 0.97278159 0.96406432 0.95261209 0.93752256 0.91752043 0.8907083
 0.85420476 0.80400651 0.73602024 0.64903155 0.5479339  0.4435449
 0.3479374  0.26894861 0.20829177 0.16357076 0.13102651 0.10703683
 0.08877232 0.07459939 0.06357717 0.05337083 0.039004   0.03030303
 0.03125    0.03225806 0.03333333 0.03448276 0.03571429 0.03703704
 0.03846154 0.04       0.04166667 0.04347826 0.04545455 0.04761905
 0.05       0.05263158 0.05555556 0.05882353 0.0625     0.06666667
 0.07142857 0.07692308 0.08333333 0.09090909 0.1        0.11111111
 0.125      0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.        ]"
drugspider_chloralhydrate.adj,52,64,"[0.98076923 0.96960784 0.9566     0.92897959 0.89729167 0.85978723
 0.8173913  0.77844444 0.73818182 0.7027907  0.65714286 0.62390244
 0.5905     0.55615385 0.53184211 0.50405405 0.48638889 0.47114286
 0.44676471 0.42848485 0.415625   0.39870968 0.38933333 0.36655172
 0.34857143 0.33259259 0.32076923 0.308      0.29791667 0.28
 0.27863636 0.27380952 0.2645     0.26157895 0.255      0.25235294
 0.248125   0.23733333 0.23142857 0.23153846 0.23166667 0.23727273
 0.252      0.25777778 0.2675     0.27285714 0.28833333 0.294
 0.33       0.4        0.55       1.        ]","[0.98076923 0.96078431 0.96       0.83673469 0.4375     0.44680851
 0.43478261 0.35555556 0.29545455 0.27906977 0.28571429 0.29268293
 0.225      0.12820513 0.10526316 0.10810811 0.11111111 0.11428571
 0.05882353 0.06060606 0.0625     0.06451613 0.06666667 0.06896552
 0.07142857 0.03703704 0.03846154 0.04       0.04166667 0.04347826
 0.04545455 0.04761905 0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]","[0.8905899  0.88325026 0.8752865  0.86662973 0.8572076  0.84694251
 0.83575396 0.82356682 0.81030625 0.79591009 0.78033241 0.763546
 0.74554889 0.72636842 0.70606248 0.68472226 0.66247082 0.6394593
 0.61586356 0.59187825 0.56770882 0.5435655  0.51965503 0.49617426
 0.47330477 0.45120812 0.43002291 0.40986367 0.39082061 0.37296058
 0.35632953 0.34095485 0.32685056 0.31401854 0.30245789 0.29216698
 0.28315188 0.27542968 0.26903113 0.26400009 0.26038424 0.25823008
 0.2575848  0.25852801 0.26127596 0.26640251 0.27529723 0.29110098
 0.3208489  0.38156112 0.524133   1.        ]","[0.8905899  0.85482577 0.80589156 0.73976501 0.65496361 0.55573166
 0.45221623 0.35628611 0.27614451 0.21406368 0.16802313 0.13442558
 0.10969894 0.09094418 0.07634428 0.06501131 0.05532478 0.04306071
 0.02941176 0.03030303 0.03125    0.03225806 0.03333333 0.03448276
 0.03571429 0.03703704 0.03846154 0.04       0.04166667 0.04347826
 0.04545455 0.04761905 0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]"
earth_moon_mars.adj,16,57,"[1.         0.976      0.95714286 0.93230769 0.91083333 0.89272727
 0.882      0.85       0.83375    0.81714286 0.80166667 0.772
 0.7525     0.76       0.78       1.        ]","[1.         0.93333333 0.85714286 0.76923077 0.75       0.72727273
 0.6        0.44444444 0.25       0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]","[0.99993647 0.99987921 0.99976833 0.99955774 0.99915053 0.99835983
 0.99679475 0.99359292 0.98681341 0.97252745 0.94447976 0.89813438
 0.834821   0.77260933 0.7375     1.        ]","[0.99993647 0.99972083 0.99887163 0.99578425 0.98501723 0.94798171
 0.84050632 0.64086989 0.4258627  0.26844424 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]"
east_europe_rr.adj,45,91,"[1.         0.99931818 0.99813953 0.99714286 0.99414634 0.99075
 0.98589744 0.98131579 0.97675676 0.96444444 0.95257143 0.94058824
 0.92575758 0.9040625  0.87774194 0.84266667 0.82310345 0.79678571
 0.76592593 0.73230769 0.6936     0.65458333 0.62130435 0.59545455
 0.56190476 0.5355     0.50526316 0.48333333 0.46176471 0.440625
 0.416      0.39142857 0.38153846 0.38166667 0.36909091 0.378
 0.37       0.34375    0.33714286 0.34       0.352      0.3825
 0.44333333 0.54       1.        ]","[1.         0.97727273 0.97674419 0.97619048 0.97560976 0.975
 0.97435897 0.97368421 0.97297297 0.97222222 0.94285714 0.94117647
 0.87878788 0.71875    0.64516129 0.46666667 0.17241379 0.17857143
 0.18518519 0.19230769 0.2        0.20833333 0.13043478 0.09090909
 0.0952381  0.1        0.05263158 0.05555556 0.05882353 0.0625
 0.06666667 0.07142857 0.07692308 0.08333333 0.09090909 0.1
 0.11111111 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        1.        ]","[0.9844747  0.98279073 0.98091319 0.97881772 0.97647557 0.9738529
 0.97091553 0.96761461 0.96390209 0.95971077 0.95497029 0.94958598
 0.94344627 0.93641411 0.92832132 0.91896518 0.90811089 0.89548729
 0.88080898 0.86379715 0.84420155 0.82184468 0.79665956 0.76871937
 0.73825852 0.70567969 0.67152872 0.63646314 0.60120736 0.56649268
 0.5330153  0.50139843 0.47217202 0.44577499 0.42257725 0.4028983
 0.38702291 0.37518012 0.36757232 0.3646265  0.36792772 0.38274918
 0.42499377 0.5459597  1.        ]","[0.9844747  0.97786525 0.96855057 0.95539912 0.93671725 0.90981942
 0.87035094 0.81207225 0.72920467 0.62234093 0.50276507 0.38825793
 0.29281676 0.22084693 0.16949604 0.13319826 0.10692658 0.08760174
 0.0717381  0.05228158 0.04       0.04166667 0.04347826 0.04545455
 0.04761905 0.05       0.05263158 0.05555556 0.05882353 0.0625
 0.06666667 0.07142857 0.07692308 0.08333333 0.09090909 0.1
 0.11111111 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        1.        ]"
farmer.adj,80,77,"[0.675      0.66860759 0.66307692 0.65480519 0.64486842 0.6408
 0.63432432 0.63027397 0.62263889 0.61732394 0.61071429 0.59724638
 0.58911765 0.58059701 0.57181818 0.56215385 0.55609375 0.55190476
 0.54951613 0.53721311 0.52966667 0.51610169 0.51051724 0.49964912
 0.49178571 0.48327273 0.4762963  0.46641509 0.45634615 0.44686275
 0.441      0.43346939 0.42166667 0.41957447 0.41       0.39577778
 0.39363636 0.38790698 0.37738095 0.37073171 0.364      0.35948718
 0.34815789 0.33783784 0.33305556 0.32914286 0.32352941 0.31212121
 0.3046875  0.29967742 0.293      0.28       0.26642857 0.25333333
 0.245      0.2396     0.235      0.23043478 0.21681818 0.20761905
 0.206      0.20368421 0.19944444 0.19588235 0.19125    0.182
 0.18142857 0.18       0.185      0.18454545 0.188      0.19444444
 0.19625    0.2        0.21166667 0.228      0.2675     0.34666667
 0.505      1.        ]","[0.675      0.5443038  0.5        0.45454545 0.42105263 0.32
 0.21621622 0.21917808 0.18055556 0.07042254 0.07142857 0.07246377
 0.07352941 0.07462687 0.07575758 0.07692308 0.046875   0.03174603
 0.03225806 0.03278689 0.03333333 0.01694915 0.01724138 0.01754386
 0.01785714 0.01818182 0.01851852 0.01886792 0.01923077 0.01960784
 0.02       0.02040816 0.02083333 0.0212766  0.02173913 0.02222222
 0.02272727 0.02325581 0.02380952 0.02439024 0.025      0.02564103
 0.02631579 0.02702703 0.02777778 0.02857143 0.02941176 0.03030303
 0.03125    0.03225806 0.03333333 0.03448276 0.03571429 0.03703704
 0.03846154 0.04       0.04166667 0.04347826 0.04545455 0.04761905
 0.05       0.05263158 0.05555556 0.05882353 0.0625     0.06666667
 0.07142857 0.07692308 0.08333333 0.09090909 0.1        0.11111111
 0.125      0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.        ]","[0.76751447 0.75859347 0.7492425  0.73944806 0.72919822 0.71848471
 0.7073024  0.69565102 0.68353428 0.67096149 0.65794772 0.64451278
 0.63068225 0.61648712 0.60196409 0.58715382 0.57210189 0.55685665
 0.54146983 0.52599476 0.51048585 0.49499855 0.47958647 0.46430256
 0.44919771 0.43431931 0.41971207 0.40541644 0.39146876 0.37790106
 0.36474072 0.35201064 0.33972934 0.32791087 0.31656539 0.3056991
 0.29531502 0.28541251 0.27598884 0.2670386  0.25855457 0.25052764
 0.24294784 0.2358041  0.2290846  0.22277751 0.21687033 0.21135128
 0.20620894 0.20143157 0.19700952 0.19293294 0.18919386 0.18578562
 0.18270389 0.17994711 0.17751654 0.17541742 0.17365911 0.17225529
 0.17122331 0.17058381 0.17035853 0.17056977 0.17123817 0.17238188
 0.17401965 0.17617603 0.17889649 0.18227235 0.18648232 0.19186437
 0.19902874 0.20906083 0.22390368 0.2471683  0.28613254 0.35769573
 0.5121836  1.        ]","[ 7.67514469e-01  7.17697481e-01  6.57235162e-01  5.86791885e-01
  5.09519351e-01  4.30679977e-01  3.54679172e-01  2.82467957e-01
  1.38422207e-01  1.70412309e-01 -1.89366658e+00  5.82100432e+00
 -2.75857431e+01  1.06542490e+01 -5.16982171e+02 -6.75102622e+02
 -1.77048942e+03  4.79067505e+03 -2.67350629e+03 -3.55354374e+03
  8.97543246e+03  3.59906944e+04 -3.67552149e+03  1.75438596e-02
  1.78571429e-02  1.81818182e-02  1.85185185e-02  1.88679245e-02
  1.92307692e-02  1.96078431e-02  2.00000000e-02  2.04081633e-02
  2.08333333e-02  2.12765957e-02  2.17391304e-02  2.22222222e-02
  2.27272727e-02  2.32558140e-02  2.38095238e-02  2.43902439e-02
  2.50000000e-02  2.56410256e-02  2.63157895e-02  2.70270270e-02
  2.77777778e-02  2.85714286e-02  2.94117647e-02  3.03030303e-02
  3.12500000e-02  3.22580645e-02  3.33333333e-02  3.44827586e-02
  3.57142857e-02  3.70370370e-02  3.84615385e-02  4.00000000e-02
  4.16666667e-02  4.34782609e-02  4.54545455e-02  4.76190476e-02
  5.00000000e-02  5.26315789e-02  5.55555556e-02  5.88235294e-02
  6.25000000e-02  6.66666667e-02  7.14285714e-02  7.69230769e-02
  8.33333333e-02  9.09090909e-02  1.00000000e-01  1.11111111e-01
  1.25000000e-01  1.42857143e-01  1.66666667e-01  2.00000000e-01
  2.50000000e-01  3.33333333e-01  5.00000000e-01  1.00000000e+00]"
frozen.adj,52,43,"[0.42307692 0.41862745 0.4152     0.41122449 0.4075     0.40106383
 0.39673913 0.39311111 0.39       0.38069767 0.3752381  0.36658537
 0.363      0.35692308 0.34684211 0.34405405 0.33666667 0.33485714
 0.33029412 0.32424242 0.3159375  0.30677419 0.306      0.30413793
 0.29392857 0.28851852 0.28461538 0.2776     0.27541667 0.25826087
 0.25090909 0.25047619 0.2405     0.23894737 0.23277778 0.23235294
 0.22375    0.21666667 0.22       0.21923077 0.225      0.22181818
 0.21       0.20444444 0.215      0.21714286 0.22166667 0.244
 0.2925     0.35666667 0.515      1.        ]","[0.42307692 0.37254902 0.2        0.16326531 0.10416667 0.10638298
 0.06521739 0.06666667 0.04545455 0.04651163 0.04761905 0.04878049
 0.05       0.02564103 0.02631579 0.02702703 0.02777778 0.02857143
 0.02941176 0.03030303 0.03125    0.03225806 0.03333333 0.03448276
 0.03571429 0.03703704 0.03846154 0.04       0.04166667 0.04347826
 0.04545455 0.04761905 0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]","[0.64153854 0.6239983  0.60603871 0.58774128 0.56919428 0.5504908
 0.5317268  0.5129985  0.4944009  0.47602566 0.45795862 0.44027929
 0.42305957 0.40636197 0.39024076 0.37474013 0.35989565 0.345734
 0.33227323 0.3195244  0.30749156 0.29617351 0.28556395 0.27565299
 0.26642732 0.25787279 0.24997319 0.24271238 0.23607532 0.23004837
 0.22462118 0.21978901 0.21555239 0.21191902 0.20890493 0.20653268
 0.20483161 0.20383276 0.20356583 0.20405917 0.20534126 0.20745771
 0.21050714 0.21470868 0.2205283  0.22889456 0.24161126 0.26219754
 0.29791634 0.36575046 0.5162144  1.        ]","[0.64153854 0.54609764 0.44716088 0.35522299 0.27767618 0.21682928
 0.17109973 0.13734151 0.11236479 0.09347484 0.07869509 0.06697602
 0.05771841 0.04928977 0.03757067 0.02702703 0.02777778 0.02857143
 0.02941176 0.03030303 0.03125    0.03225806 0.03333333 0.03448276
 0.03571429 0.03703704 0.03846154 0.04       0.04166667 0.04347826
 0.04545455 0.04761905 0.05       0.05263158 0.05555556 0.05882353
 0.0625     0.06666667 0.07142857 0.07692308 0.08333333 0.09090909
 0.1        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.        ]"
