"",Jamiat-ul-Mujahideen,Ummah_Tameer-e-Mujahideen,J&K_ Liberation_Front,Al_Barq,Harkat-ul-Jehad-al-Islami,Al_Qaida,Muttahida_Jihad_Council,Jaish-e-Mohammad,J&K_Democratic_Freedom_Party,Tehrik-ul-Mujahideen,Hizbul_Mujahideen,Lashkar-e-Jabbar,Kul_Jamaat_Hurriyat_Conference,Inter_Service_Intelligence,Al_Badr,Sipah-e-Sahaba,International_Sikh_Youth_Federation,Taliban,Muslim_Jihad_Council,J&K_Jamiat-e-Islami,Dukhtaran-e-Millat,Markaz Dawat-ul-Arshad,Khalistan_Zindabad_Force
Jamiat-ul-Mujahideen,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0
Ummah_Tameer-e-Mujahideen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J&K_ Liberation_Front,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al_Barq,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Harkat-ul-Jehad-al-Islami,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Al_Qaida,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Muttahida_Jihad_Council,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
Jaish-e-Mohammad,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
J&K_Democratic_Freedom_Party,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tehrik-ul-Mujahideen,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
Hizbul_Mujahideen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lashkar-e-Jabbar,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kul_Jamaat_Hurriyat_Conference,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Inter_Service_Intelligence,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Al_Badr,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sipah-e-Sahaba,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
International_Sikh_Youth_Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Taliban,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Muslim_Jihad_Council,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
J&K_Jamiat-e-Islami,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dukhtaran-e-Millat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markaz Dawat-ul-Arshad,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Khalistan_Zindabad_Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
