,0,1,2,3
0,TRK10-12_Triple.adj,2,1.0,0.0
1,TRKa46-3-12.adj,2,1.0,0.0
2,weighted_hens_pecking_order.adj,32,1.0,0.0
3,social_weaver_2.adj,5,1.0,0.0
4,weaver_dijk_social_02.adj,5,1.0,0.0
5,hoffmansingletoncomplementgraph.adj,50,0.8571428571428571,1.2114202636602383e-06
6,eies_TIME_2.adj,32,0.8669354838709677,5.90941343122958e-06
7,pony_.adj,17,0.9485294117647058,6.5392569113647e-06
8,gossetdistance2graph.adj,56,0.4909090909090909,7.059146687866619e-06
9,gandg_grooming.adj,10,0.8888888888888888,9.90867625060972e-06
